//¨¬?¨ùo¢¬i	CN¡¾U¢¬iA¨£	AI¡Æ©ªAo¢¥E	Eu	A¨ù¡¤A	©öIA¢¬	Ao¢¥E	¢¬iA©¬¡¤u	©ö©¡¨úiA©÷(E¢¬CC)	A¨úA¡¤	E¡ÌAu¨ù¨¬	¨ù¨¬¨¬¡Æ	¡¤©ö¨¬¡×	¨¬nCa¡¤©ö¨¬¡×	A¨Ï¡¾a	¥ìi¡¾¨­	¨¡AA¡À	A¡ì¢¬¡Ì¢¬¢ÒA?©ö¡ì	¡íc¢¯eA?©ö¡ì	AuAoCa¥ì¢¯©öY¡Æ©¡	AO¨ùOA¢¬¡ÆYA¢®	AO¢¥eA¢¬¡ÆYA¢®	¡Æ©ª¡ÆY1(¡¾a¨¬¡í)	¡Æ©ª¡ÆY2(¡¾a¨¬¡í)	¡Æ©ª¡ÆY3(¨¡?¨ùo)	¡Æ¢®¡¤I¡Æ¢®A©¬A¢®	CA¡¤©öAO¨ùO¥ì¥ì	¡íc¨ù¡¾¡Æ¢®A©¬A¢®	Ai¢¬¡Ì¡¾a¡Æ¢®A©¬A¢®	¡Æ¢®¨ö¢¯ ¨¬nA©÷	¢¬O¢¬¢ç ¨¬nA©÷	¨¡E ¨¬nA©÷	¢¥U¢¬¢ç ¨¬nA©÷	¡Æ©ª¡ÆY¨ùO¥ì¥ì	Ac¡Æ©ª¡ÆY¨ùO¥ì¥ì	HP¨¬¢¬¢¯I	MP¨¬¢¬¢¯I	A©¬¡Æ¢®©ö©¡¨úiA¢®	¢¬¢Ò¢¬©£¥ì¥ì	¡Æ©¡¥ì¥ì	A©¬¡Æ¢®¡Æ©ª¡ÆY¨ùO¥ì¥ìAuCI	¢¬o¨ö¨¬AI ¨ùO¨ù¨¬	¨ùO¨ù¨¬¡Æ¨£	¡¤©ö¨¬¡× on off	AI¥ì¢¯¨ùO¥ì¥ì	¡ÆAAOAo¢¯¨£	¨¬nCaA?©ö¡ì	©øoAI¢ÒU¡¾a	¢¬O¢¬¢ç¢ÒU¡¾a	A¢Ò¡¤AA?©ö¡ì	¢¬¢Ò©öyAuC¡¿	Au¡¾aAuC¡¿	¨¬OAuC¡¿	©öU¢Ò¡ÀAuC¡¿	©ö¡ÆAuC¡¿	¢Ò¡ÍAuC¡¿	A|¡Æ©ª¡¾Y¨ú¡¿	A|¡Æ©ªAc¡¤a	Ac¡¤a¨úc	Ac¡¤aAAAy¥ì¥ì	¨öAA¨ùA?Ao¨öA¡Æ¡Ì	¨ú¨¡AIAU¡íy¨ù¨¬¨¬¢¬A¢´¡Æ¨£	¡Æ©¡CeA¢®	¨¬nCa¡Æ©¡CeA¢®	¢¬o¡íoAA	A©¬¡Æ¢®¢¥E¡¤A	A¡¿A¨öA?©ö¡ì	¡Æ¢®¡ío¨ú¨¡AIAU1	¡Æ¢®¡ío¨ú¨¡AIAUA¢¬AO	¡Æ¢®¡ío¨ú¨¡AIAU1	¡Æ¢®¡ío¨ú¨¡AIAUA¢¬AO	¡Æ¢®¡ío¨ú¨¡AIAU1	¡Æ¢®¡ío¨ú¨¡AIAUA¢¬AO	¡Æ©ª¡ÆYE¢¯¡ÆuA¨ö1	¡Æ©ª¡ÆYE¢¯¡ÆuA¨ö2	A¡¿¢¥AE¢¯¡ÆuA¨ö1	A¡¿¢¥AE¢¯¡ÆuA¨ö2	CCC¨ªE¢¯¡ÆuA¨ö1	CCC¨ªE¢¯¡ÆuA¨ö2	CCC¨ªE¢¯¡ÆuA¨ö3	©ö©¡¡ÆuE¢¯¡ÆuA¨ö1	©ö©¡¡ÆuE¢¯¡ÆuA¨ö2	CN¡¾U¨ù©ø¢¬i	AaCoAo¢¯¨£	NPC ¢¬¢ÒA¨Ï	¢¬¢Ò¥ìa¢¬¢ç¡Æ¡Í¨¡¡ÀAI¨¡¢ç
//dwID	szName	dwAI	dwStr	dwSta	dwDex	dwInt	dwHR	dwER	dwRace	dwBelligerence	dwGender	dwLevel	dwFilghtLevel	dwSize	dwClass	bIfPart	dwKarma	dwUseable	dwActionRadius	dwAtkMin	dwAtkMax	dwAtk1	dwAtk2	dwAtk3	dwHorizontalRate	dwVerticalRate	dwDiagonalRate	dwThrustRate	dwChestRate	dwHeadRate	dwArmRate	dwLegRate	dwAttackSpeed	dwReAttackDelay	dwAddHp	dwAddMp	dwNaturealArmor	nAbrasion	nHardness	dwAdjAtkDelay	eElementType	wElementAtk	dwHideLevel	fSpeed	dwShelter	bFlying	dwJumpIng	dwAirJump	bTaming	dwResisMagic	fResistElecricity	fResistFire	fResistWind	fResistWater	fResistEarth	dwCash	dwSourceMaterial	dwMaterialAmount	dwCohesion	dwHoldingTime	dwCorrectionValue	dwExpValue	nFxpValue	nBodyState	dwAddAbility	bKillable	dwVirtItem1	dwVirtType1	dwVirtItem2	dwVirtType2	dwVirtItem3	dwVirtType3	dwSndAtk1	dwSndAtk2	dwSndDie1	dwSndDie2	dwSndDmg1	dwSndDmg2	dwSndDmg3	dwSndIdle1	dwSndIdle2	szComment	dwAreaColor	szNpcMark	dwMadrigalGiftPoint
MI_MUSHPANG3	IDS_PROPMOVER_TXT_000018	AII_MONSTER	15	20	21	18	40	8	=	BELLI_MELEE2X	=	4	=	=	RANK_CAPTAIN	0	=	1	=	20	21	II_WEA_MOB_MUSHPANG3_ATK1    	II_WEA_MOB_MUSHPANG3_ATK2    	II_WEA_MOB_MUSHPANG3_ATK3    	=	=	=	=	=	=	=	=	1000	5500	373	100	7	130	0	=	5	1	=	0.08	=	0	=	=	=	4	0.3	0	-0.3	0	0	13	=	=	=	=	16	7	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000019	AREA_NORMAL	=	31
MI_MUSHPANG4	IDS_PROPMOVER_TXT_000020	AII_MONSTER	15	20	27	23	70	14	=	BELLI_MELEE2X	=	6	=	=	RANK_BOSS	0	=	1	=	136	143	II_WEA_MOB_MUSHPANG4_ATK1    	II_WEA_MOB_MUSHPANG4_ATK2    	II_WEA_MOB_MUSHPANG4_ATK3    	=	0.6	=	=	=	=	=	=	1000	5500	19764	100	15	130	0	=	2	1	=	0.075	=	0	=	=	=	7	-0.3	0.3	0	0	0	126	=	=	=	=	50	56	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000021	AREA_NORMAL	=	600
MI_BURUDENG1	IDS_PROPMOVER_TXT_000022	AII_MONSTER	15	20	23	20	40	9	=	BELLI_MELEE2X	=	5	=	=	RANK_LOW	0	=	1	=	26	28	II_WEA_MOB_BURUDENG1_ATK1  	II_WEA_MOB_BURUDENG1_ATK2  	II_WEA_MOB_BURUDENG1_ATK3  	=	2.5	0	=	=	=	=	=	1000	5000	745	100	8	130	0	=	3	1	=	0.075	=	0	=	=	=	5	0	0	0	0.3	-0.3	14	=	=	=	=	25	9	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000023	AREA_NORMAL	=	31
MI_BURUDENG2	IDS_PROPMOVER_TXT_000024	AII_MONSTER	15	20	23	20	40	9	=	BELLI_MELEE2X	=	5	=	=	RANK_NORMAL	0	=	1	=	27	29	II_WEA_MOB_BURUDENG2_ATK1  	II_WEA_MOB_BURUDENG2_ATK2  	II_WEA_MOB_BURUDENG2_ATK3  	=	2.5	0	=	=	=	=	=	1000	5000	745	100	8	130	0	=	3	1	=	0.075	=	0	=	=	=	5	0	0	0	0.3	-0.3	14	=	=	=	=	50	9	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000025	AREA_NORMAL	=	31
MI_BURUDENG3	IDS_PROPMOVER_TXT_000026	AII_MONSTER	15	20	25	21	40	10	=	BELLI_MELEE2X	=	6	=	=	RANK_CAPTAIN	0	=	1	=	28	30	II_WEA_MOB_BURUDENG3_ATK1  	II_WEA_MOB_BURUDENG3_ATK2  	II_WEA_MOB_BURUDENG3_ATK3  	=	2.5	0	=	=	=	=	=	1000	5000	793	100	9	130	0	=	3	1	=	0.08	=	0	=	=	=	6	0	0	0	0.3	-0.3	16	=	=	=	=	16	11	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000027	AREA_NORMAL	=	31
MI_BURUDENG4	IDS_PROPMOVER_TXT_000028	AII_MONSTER	15	20	31	26	70	24	=	BELLI_MELEE2X	=	9	=	=	RANK_BOSS	0	=	1	=	169	178	II_WEA_MOB_BURUDENG4_ATK1  	II_WEA_MOB_BURUDENG4_ATK2  	II_WEA_MOB_BURUDENG4_ATK3  	=	=	0	=	=	=	=	=	1000	3000	24323	100	20	130	0	=	4	1	=	0.075	=	0	=	=	=	9	0	-0.3	0	0	0.3	154	=	=	=	=	30	66	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000029	AREA_NORMAL	=	600
MI_PUKEPUKE1	IDS_PROPMOVER_TXT_000030	AII_MONSTER	15	20	27	23	40	11	=	BELLI_MELEE2X	=	7	=	=	RANK_LOW	0	=	1	=	36	38	II_WEA_MOB_PUKEPUKE1_ATK1  	II_WEA_MOB_PUKEPUKE1_ATK2  	II_WEA_MOB_PUKEPUKE1_ATK3  	=	1.5	=	=	=	=	=	=	1000	4500	1112	100	10	130	0	=	1	1	=	0.075	=	0	=	=	=	7	0	0	0.3	-0.3	0	18	=	=	=	=	25	12	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000031	AREA_NORMAL	=	31
MI_PUKEPUKE2	IDS_PROPMOVER_TXT_000032	AII_MONSTER	15	20	27	23	40	11	=	BELLI_MELEE2X	=	7	=	=	RANK_NORMAL	0	=	1	=	37	39	II_WEA_MOB_PUKEPUKE2_ATK1  	II_WEA_MOB_PUKEPUKE2_ATK2  	II_WEA_MOB_PUKEPUKE2_ATK3  	=	1.5	=	=	=	=	=	=	1000	4500	1112	100	10	130	0	=	5	1	=	0.075	=	0	=	=	=	7	0.3	0	-0.3	0	0	18	=	=	=	=	50	13	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000033	AREA_NORMAL	=	31
MI_PUKEPUKE3	IDS_PROPMOVER_TXT_000034	AII_MONSTER	15	20	29	25	40	13	=	BELLI_MELEE2X	=	8	=	=	RANK_CAPTAIN	0	=	1	=	39	41	II_WEA_MOB_PUKEPUKE3_ATK1  	II_WEA_MOB_PUKEPUKE3_ATK2  	II_WEA_MOB_PUKEPUKE3_ATK3  	=	1.5	=	=	=	=	=	=	1000	4500	1180	100	11	130	0	=	1	1	=	0.08	=	0	=	=	=	8	0	0	0.3	-0.3	0	20	=	=	=	=	16	13	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000035	AREA_NORMAL	=	31
MI_PUKEPUKE4	IDS_PROPMOVER_TXT_000036	AII_MONSTER	15	20	35	30	70	26	=	BELLI_MELEE2X	=	11	=	=	RANK_BOSS	0	=	1	=	200	210	II_WEA_MOB_PUKEPUKE4_ATK1  	II_WEA_MOB_PUKEPUKE4_ATK2  	II_WEA_MOB_PUKEPUKE4_ATK3  	=	1.4	=	=	=	=	=	=	1000	3000	31556	100	25	130	0	=	5	1	=	0.075	=	0	=	=	=	11	0.3	0	-0.3	0	0	182	=	=	=	=	220	81	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000037	AREA_NORMAL	=	600
MI_PEAKYTURTLE1	IDS_PROPMOVER_TXT_000038	AII_MONSTER	15	20	29	25	40	14	=	BELLI_MELEE	=	8	=	=	RANK_LOW	0	=	1	=	43	45	II_WEA_MOB_MONSTER1_ATK1	II_WEA_MOB_MONSTER1_ATK2	II_WEA_MOB_MONSTER1_ATK3	=	1.3	=	=	=	=	=	=	1000	3000	1370	100	13	130	0	=	2	1	=	0.075	=	0	=	=	=	8	-0.3	0.3	0	0	0	20	=	=	=	=	21	13	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_TREE	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000039	AREA_NORMAL	=	31
MI_PEAKYTURTLE2	IDS_PROPMOVER_TXT_000040	AII_MONSTER	15	20	29	25	40	14	=	BELLI_MELEE	=	8	=	=	RANK_NORMAL	0	=	1	=	43	45	II_WEA_MOB_MONSTER2_ATK1	II_WEA_MOB_MONSTER2_ATK2	II_WEA_MOB_MONSTER2_ATK3	=	1.3	=	=	=	=	=	=	1000	3000	1370	100	13	130	0	=	3	1	=	0.075	=	0	=	=	=	8	0	0	0	0.3	-0.3	20	=	=	=	=	50	14	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_TREE	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000041	AREA_NORMAL	=	31
MI_PEAKYTURTLE3	IDS_PROPMOVER_TXT_000042	AII_MONSTER	15	20	31	26	40	14	=	BELLI_MELEE	=	9	=	=	RANK_CAPTAIN	0	=	1	=	45	47	II_WEA_MOB_MONSTER3_ATK1	II_WEA_MOB_MONSTER3_ATK2	II_WEA_MOB_MONSTER3_ATK3	=	1.3	=	=	=	=	=	=	1000	3000	1445	100	14	130	0	=	2	1	=	0.08	=	0	=	=	=	9	-0.3	0.3	0	0	0	22	=	=	=	=	14	14	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_TREE	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000043	AREA_NORMAL	=	31
MI_PEAKYTURTLE4	IDS_PROPMOVER_TXT_000044	AII_MONSTER	15	20	37	31	70	30	=	BELLI_MELEE	=	12	=	=	RANK_BOSS	0	=	1	=	216	227	II_WEA_MOB_MONSTER4_ATK1	II_WEA_MOB_MONSTER4_ATK2	II_WEA_MOB_MONSTER4_ATK3	=	1.2	=	=	=	=	=	=	1000	3000	36132	100	30	130	0	=	3	1	=	0.075	=	0	=	=	=	12	0	0	0	0.3	-0.3	196	=	=	=	=	250	91	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_TREE	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000045	AREA_NORMAL	=	600
MI_DEMIAN1	IDS_PROPMOVER_TXT_000046	AII_MONSTER	15	20	31	26	40	15	=	BELLI_MELEE2X	=	9	=	=	RANK_LOW	0	=	1	=	48	51	II_WEA_MOB_DEMIAN1_ATK1	II_WEA_MOB_DEMIAN1_ATK2	II_WEA_MOB_DEMIAN1_ATK3	=	1.5	=	=	=	=	=	=	1000	4500	1454	100	14	130	0	=	4	1	=	0.075	=	0	=	=	=	9	0	-0.3	0	0	0.3	22	=	=	=	=	21	14	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000047	AREA_NORMAL	=	31
